Date,Open,High,Low,Close*,Adj. close**,Volume
1-Jun-18,"24,542.09","24,673.60","24,542.09","24,635.21","24,635.21","315,710,000"
31-May-18,"24,620.79","24,620.79","24,352.15","24,415.84","24,415.84","429,740,000"
30-May-18,"24,467.83","24,714.48","24,459.09","24,667.78","24,667.78","324,870,000"
29-May-18,"24,606.59","24,635.18","24,247.84","24,361.45","24,361.45","395,810,000"
25-May-18,"24,781.29","24,824.22","24,687.81","24,753.09","24,753.09","257,210,000"
24-May-18,"24,877.36","24,877.36","24,605.90","24,811.76","24,811.76","347,050,000"
23-May-18,"24,757.71","24,889.46","24,667.12","24,886.81","24,886.81","399,610,000"
22-May-18,"25,047.55","25,064.99","24,812.06","24,834.41","24,834.41","288,200,000"
21-May-18,"24,883.06","25,086.49","24,883.06","25,013.29","25,013.29","308,920,000"
18-May-18,"24,707.72","24,774.97","24,664.87","24,715.09","24,715.09","269,700,000"
17-May-18,"24,752.40","24,839.49","24,639.40","24,713.98","24,713.98","314,650,000"
16-May-18,"24,722.32","24,801.19","24,672.79","24,768.93","24,768.93","280,810,000"
15-May-18,"24,809.55","24,809.55","24,629.39","24,706.41","24,706.41","301,900,000"
14-May-18,"24,879.37","24,994.19","24,862.52","24,899.41","24,899.41","282,860,000"
11-May-18,"24,758.64","24,868.65","24,717.50","24,831.17","24,831.17","274,150,000"
10-May-18,"24,591.66","24,794.99","24,575.91","24,739.53","24,739.53","304,210,000"
9-May-18,"24,399.18","24,586.48","24,323.87","24,542.54","24,542.54","361,580,000"
8-May-18,"24,341.35","24,412.34","24,198.34","24,360.21","24,360.21","344,940,000"
7-May-18,"24,317.66","24,479.45","24,263.42","24,357.32","24,357.32","307,670,000"
4-May-18,"23,865.22","24,333.35","23,778.87","24,262.51","24,262.51","329,480,000"
3-May-18,"23,836.23","23,996.15","23,531.31","23,930.15","23,930.15","389,240,000"
2-May-18,"24,097.63","24,185.52","23,886.30","23,924.98","23,924.98","385,350,000"
1-May-18,"24,117.29","24,117.29","23,808.19","24,099.05","24,099.05","380,070,000"
30-Apr-18,"24,410.41","24,498.23","24,163.08","24,163.15","24,163.15","416,650,000"
27-Apr-18,"24,342.14","24,359.38","24,194.45","24,311.19","24,311.19","392,810,000"
26-Apr-18,"24,128.72","24,402.46","24,128.72","24,322.34","24,322.34","390,360,000"
25-Apr-18,"24,070.20","24,146.34","23,823.08","24,083.83","24,083.83","437,100,000"
24-Apr-18,"24,579.94","24,579.94","23,828.73","24,024.13","24,024.13","468,180,000"
23-Apr-18,"24,488.07","24,536.89","24,328.54","24,448.69","24,448.69","351,030,000"
20-Apr-18,"24,657.39","24,678.07","24,375.04","24,462.94","24,462.94","537,770,000"
19-Apr-18,"24,711.30","24,762.48","24,557.03","24,664.89","24,664.89","381,110,000"
18-Apr-18,"24,820.85","24,832.54","24,721.09","24,748.07","24,748.07","302,030,000"
17-Apr-18,"24,681.79","24,858.97","24,681.79","24,786.63","24,786.63","342,410,000"
16-Apr-18,"24,483.15","24,675.36","24,480.20","24,573.04","24,573.04","305,070,000"
13-Apr-18,"24,582.82","24,646.45","24,243.74","24,360.14","24,360.14","331,890,000"
12-Apr-18,"24,302.82","24,592.12","24,302.82","24,483.05","24,483.05","336,130,000"
11-Apr-18,"24,274.19","24,366.57","24,150.87","24,189.45","24,189.45","286,360,000"
10-Apr-18,"24,198.95","24,511.35","24,198.95","24,408.00","24,408.00","368,590,000"
9-Apr-18,"24,037.52","24,373.18","23,954.83","23,979.10","23,979.10","380,790,000"
6-Apr-18,"24,373.60","24,434.40","23,738.20","23,932.76","23,932.76","395,990,000"
5-Apr-18,"24,313.91","24,622.26","24,313.91","24,505.22","24,505.22","347,790,000"
4-Apr-18,"23,654.15","24,308.96","23,523.16","24,264.30","24,264.30","388,540,000"
3-Apr-18,"23,698.33","24,044.35","23,664.33","24,033.36","24,033.36","394,130,000"
2-Apr-18,"24,076.60","24,123.80","23,344.52","23,644.19","23,644.19","509,820,000"
29-Mar-18,"23,949.18","24,314.30","23,928.13","24,103.11","24,103.11","463,550,000"
28-Mar-18,"23,883.08","24,092.47","23,728.67","23,848.42","23,848.42","530,040,000"
27-Mar-18,"24,276.62","24,446.22","23,708.73","23,857.71","23,857.71","524,480,000"
26-Mar-18,"23,825.74","24,232.30","23,741.22","24,202.60","24,202.60","479,540,000"
23-Mar-18,"23,995.18","24,108.47","23,509.06","23,533.20","23,533.20","482,550,000"
22-Mar-18,"24,526.01","24,526.01","23,938.74","23,957.89","23,957.89","439,280,000"
21-Mar-18,"24,723.49","24,977.65","24,655.40","24,682.31","24,682.31","343,230,000"
20-Mar-18,"24,650.64","24,803.61","24,650.64","24,727.27","24,727.27","342,510,000"
19-Mar-18,"24,893.69","24,893.69","24,453.14","24,610.91","24,610.91","377,990,000"
16-Mar-18,"24,877.34","25,031.00","24,857.09","24,946.51","24,946.51","654,240,000"
15-Mar-18,"24,837.29","25,053.87","24,753.29","24,873.66","24,873.66","316,310,000"
14-Mar-18,"25,086.97","25,130.12","24,668.83","24,758.12","24,758.12","356,830,000"
13-Mar-18,"25,257.75","25,376.40","24,947.50","25,007.03","25,007.03","447,880,000"
12-Mar-18,"25,372.44","25,449.15","25,152.02","25,178.61","25,178.61","362,580,000"
9-Mar-18,"25,004.89","25,336.33","25,004.89","25,335.74","25,335.74","371,570,000"
8-Mar-18,"24,853.41","24,950.49","24,703.05","24,895.21","24,895.21","327,300,000"
7-Mar-18,"24,758.15","24,849.68","24,535.12","24,801.36","24,801.36","394,070,000"
6-Mar-18,"24,965.89","24,995.24","24,708.41","24,884.12","24,884.12","331,770,000"
5-Mar-18,"24,471.31","24,961.00","24,387.15","24,874.76","24,874.76","383,910,000"
2-Mar-18,"24,394.91","24,592.46","24,217.76","24,538.06","24,538.06","437,130,000"
1-Mar-18,"25,024.04","25,185.35","24,442.56","24,608.98","24,608.98","506,280,000"
28-Feb-18,"25,485.15","25,576.15","25,022.42","25,029.20","25,029.20","451,870,000"
27-Feb-18,"25,735.78","25,800.35","25,407.83","25,410.03","25,410.03","438,390,000"
26-Feb-18,"25,403.35","25,732.80","25,398.56","25,709.27","25,709.27","473,360,000"
23-Feb-18,"25,050.51","25,313.91","25,028.73","25,309.99","25,309.99","335,420,000"
22-Feb-18,"24,855.41","25,156.72","24,854.83","24,962.48","24,962.48","378,900,000"
21-Feb-18,"24,988.06","25,267.99","24,792.99","24,797.78","24,797.78","456,070,000"
20-Feb-18,"25,124.91","25,179.01","24,884.19","24,964.75","24,964.75","421,510,000"
16-Feb-18,"25,165.94","25,432.42","25,149.26","25,219.38","25,219.38","406,730,000"
15-Feb-18,"25,047.82","25,203.95","24,809.42","25,200.37","25,200.37","416,780,000"
14-Feb-18,"24,535.82","24,925.95","24,490.36","24,893.49","24,893.49","431,160,000"
13-Feb-18,"24,540.33","24,705.72","24,421.03","24,640.45","24,640.45","374,410,000"
12-Feb-18,"24,337.76","24,765.16","24,290.48","24,601.27","24,601.27","496,610,000"
9-Feb-18,"23,992.67","24,382.14","23,360.29","24,190.90","24,190.90","735,030,000"
8-Feb-18,"24,902.30","24,903.68","23,849.23","23,860.46","23,860.46","657,500,000"
7-Feb-18,"24,892.87","25,293.96","24,785.44","24,893.35","24,893.35","504,620,000"
6-Feb-18,"24,085.17","24,946.23","23,778.74","24,912.77","24,912.77","823,940,000"
5-Feb-18,"25,337.87","25,520.53","23,923.88","24,345.75","24,345.75","714,450,000"
2-Feb-18,"26,061.79","26,061.79","25,490.66","25,520.96","25,520.96","522,880,000"
1-Feb-18,"26,083.04","26,306.70","26,014.44","26,186.71","26,186.71","410,620,000"
31-Jan-18,"26,268.17","26,338.03","26,050.98","26,149.39","26,149.39","479,130,000"
30-Jan-18,"26,198.45","26,256.99","26,028.42","26,076.89","26,076.89","448,330,000"
29-Jan-18,"26,584.28","26,608.90","26,435.34","26,439.48","26,439.48","421,000,000"
26-Jan-18,"26,466.74","26,616.71","26,425.35","26,616.71","26,616.71","477,780,000"
25-Jan-18,"26,313.06","26,458.25","26,259.72","26,392.79","26,392.79","401,390,000"
24-Jan-18,"26,282.07","26,392.80","26,106.94","26,252.12","26,252.12","518,790,000"
23-Jan-18,"26,214.87","26,246.19","26,143.90","26,210.81","26,210.81","433,490,000"
22-Jan-18,"26,025.32","26,215.23","25,974.65","26,214.60","26,214.60","431,200,000"
19-Jan-18,"25,987.35","26,071.72","25,942.83","26,071.72","26,071.72","585,000,000"
18-Jan-18,"26,149.55","26,153.42","25,947.32","26,017.81","26,017.81","492,780,000"
17-Jan-18,"25,910.78","26,130.45","25,865.02","26,115.65","26,115.65","522,720,000"
16-Jan-18,"25,987.62","26,086.12","25,702.99","25,792.86","25,792.86","606,520,000"
12-Jan-18,"25,638.39","25,810.43","25,633.08","25,803.19","25,803.19","376,390,000"
11-Jan-18,"25,398.60","25,575.42","25,396.19","25,574.73","25,574.73","346,830,000"
10-Jan-18,"25,348.13","25,404.92","25,256.99","25,369.13","25,369.13","341,470,000"
9-Jan-18,"25,312.05","25,439.78","25,308.41","25,385.80","25,385.80","333,490,000"
8-Jan-18,"25,308.40","25,311.99","25,235.41","25,283.00","25,283.00","341,390,000"
5-Jan-18,"25,114.92","25,299.79","25,112.01","25,295.87","25,295.87","358,020,000"
4-Jan-18,"24,964.86","25,105.96","24,963.27","25,075.13","25,075.13","403,280,000"
3-Jan-18,"24,850.45","24,941.92","24,825.55","24,922.68","24,922.68","456,790,000"
2-Jan-18,"24,809.35","24,864.19","24,741.70","24,824.01","24,824.01","341,130,000"
29-Dec-17,"24,849.63","24,871.66","24,719.22","24,719.22","24,719.22","270,760,000"
28-Dec-17,"24,807.21","24,839.23","24,797.13","24,837.51","24,837.51","200,960,000"
27-Dec-17,"24,766.52","24,789.52","24,731.68","24,774.30","24,774.30","225,890,000"
26-Dec-17,"24,715.84","24,778.13","24,708.42","24,746.21","24,746.21","208,290,000"
22-Dec-17,"24,764.04","24,784.15","24,717.51","24,754.06","24,754.06","255,140,000"
21-Dec-17,"24,778.26","24,850.91","24,766.27","24,782.29","24,782.29","339,530,000"
20-Dec-17,"24,838.09","24,852.44","24,697.11","24,726.65","24,726.65","341,790,000"
19-Dec-17,"24,834.38","24,850.11","24,715.60","24,754.75","24,754.75","335,330,000"
18-Dec-17,"24,739.56","24,876.07","24,739.56","24,792.20","24,792.20","354,880,000"
15-Dec-17,"24,585.71","24,688.62","24,584.44","24,651.74","24,651.74","635,740,000"
14-Dec-17,"24,631.01","24,672.48","24,508.66","24,508.66","24,508.66","314,780,000"
13-Dec-17,"24,525.19","24,666.02","24,518.30","24,585.43","24,585.43","325,280,000"
12-Dec-17,"24,452.96","24,552.97","24,443.83","24,504.80","24,504.80","342,220,000"
11-Dec-17,"24,338.11","24,389.72","24,314.74","24,386.03","24,386.03","300,580,000"
8-Dec-17,"24,263.26","24,330.12","24,225.50","24,329.16","24,329.16","293,590,000"
7-Dec-17,"24,116.60","24,262.88","24,101.24","24,211.48","24,211.48","319,060,000"
6-Dec-17,"24,171.90","24,229.35","24,134.49","24,140.91","24,140.91","312,720,000"
5-Dec-17,"24,335.01","24,349.74","24,155.28","24,180.64","24,180.64","371,190,000"
4-Dec-17,"24,424.11","24,534.04","24,288.19","24,290.05","24,290.05","424,250,000"
1-Dec-17,"24,305.40","24,322.06","23,921.90","24,231.59","24,231.59","417,910,000"
30-Nov-17,"24,013.80","24,327.82","24,013.80","24,272.35","24,272.35","488,200,000"
29-Nov-17,"23,883.26","23,959.76","23,872.59","23,940.68","23,940.68","401,410,000"
28-Nov-17,"23,625.19","23,849.61","23,617.11","23,836.71","23,836.71","319,240,000"
27-Nov-17,"23,552.86","23,638.92","23,545.02","23,580.78","23,580.78","296,320,000"
24-Nov-17,"23,552.75","23,599.18","23,551.59","23,557.99","23,557.99","118,610,000"
22-Nov-17,"23,597.24","23,605.77","23,507.61","23,526.18","23,526.18","268,760,000"
21-Nov-17,"23,500.15","23,617.80","23,500.15","23,590.83","23,590.83","329,650,000"
20-Nov-17,"23,370.71","23,456.88","23,360.58","23,430.33","23,430.33","315,330,000"
17-Nov-17,"23,433.77","23,433.77","23,356.01","23,358.24","23,358.24","386,000,000"
16-Nov-17,"23,365.34","23,492.19","23,365.34","23,458.36","23,458.36","402,020,000"
15-Nov-17,"23,334.59","23,344.99","23,242.75","23,271.28","23,271.28","404,300,000"
14-Nov-17,"23,388.40","23,414.08","23,271.57","23,409.47","23,409.47","561,330,000"
13-Nov-17,"23,367.47","23,461.68","23,343.34","23,439.70","23,439.70","491,260,000"
10-Nov-17,"23,432.71","23,452.20","23,392.96","23,422.21","23,422.21","351,280,000"
9-Nov-17,"23,492.09","23,516.74","23,310.02","23,461.94","23,461.94","305,440,000"
8-Nov-17,"23,542.60","23,575.00","23,510.56","23,563.36","23,563.36","264,670,000"
7-Nov-17,"23,574.03","23,602.12","23,484.19","23,557.23","23,557.23","285,080,000"
6-Nov-17,"23,533.96","23,574.86","23,520.75","23,548.42","23,548.42","325,190,000"
3-Nov-17,"23,549.59","23,557.06","23,481.57","23,539.19","23,539.19","312,250,000"
2-Nov-17,"23,463.24","23,531.38","23,350.98","23,516.26","23,516.26","348,040,000"
1-Nov-17,"23,442.90","23,517.71","23,388.91","23,435.01","23,435.01","361,260,000"
31-Oct-17,"23,369.22","23,406.35","23,334.39","23,377.24","23,377.24","388,050,000"
