,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-31,36.206298828125,987.0900268554688,65.5682601928711,68.2020034790039,38.189998626708984,987.0900268554688,69.83999633789062,68.2020034790039,38.54249954223633,999.5999755859375,70.73999786376953,68.5780029296875,38.095001220703125,981.6799926757812,69.80999755859375,67.03199768066406,38.49250030517578,996.2100219726562,70.52999877929688,67.53800201416016,97804800,1724100,30436400,49817000
2017-06-01,36.305843353271484,988.2899780273438,65.8123550415039,68.0739974975586,38.29499816894531,988.2899780273438,70.0999984741211,68.0739974975586,38.33250045776367,993.1400146484375,70.61000061035156,68.97599792480469,38.05500030517578,981.2899780273438,69.44999694824219,67.45800018310547,38.29249954223633,990.9600219726562,70.23999786376953,68.80000305175781,65616400,1306400,21603600,38040000
2017-06-02,36.84386444091797,996.1199951171875,67.37084197998047,67.97000122070312,38.86249923706055,996.1199951171875,71.76000213623047,67.97000122070312,38.86249923706055,996.47998046875,71.86000061035156,68.57599639892578,38.22249984741211,987.0700073242188,70.23999786376953,67.18599700927734,38.39500045776367,988.5900268554688,70.44000244140625,67.9540023803711,111082800,1735500,34770300,27951000
2017-06-05,36.48359298706055,1003.8800048828125,67.85901641845703,69.46399688720703,38.48249816894531,1003.8800048828125,72.27999877929688,69.46399688720703,38.61249923706055,1007.4000244140625,72.88999938964844,69.68800354003906,38.3650016784668,995.4500122070312,71.80999755859375,66.84200286865234,38.584999084472656,997.8900146484375,71.97000122070312,67.69999694824219,101326800,1378900,33316800,33922000
2017-06-06,36.60684585571289,996.6799926757812,68.08435821533203,70.56999969482422,38.61249923706055,996.6799926757812,72.5199966430664,70.56999969482422,38.95249938964844,1008.6099853515625,72.62000274658203,71.89800262451172,38.44499969482422,994.7999877929688,72.2699966430664,67.99400329589844,38.474998474121094,1003.3099975585938,72.30000305175781,68.94000244140625,106499600,1552100,31511100,55434000
2017-06-07,36.82490158081055,1001.5,67.9623031616211,71.93000030517578,38.842498779296875,1001.5,72.38999938964844,71.93000030517578,38.994998931884766,1003.9099731445312,72.7699966430664,72.0999984741211,38.619998931884766,995.8699951171875,71.94999694824219,71.02799987792969,38.755001068115234,999.0900268554688,72.63999938964844,71.26799774169922,84278400,1374100,22301800,46990000
2017-06-08,36.734840393066406,1004.280029296875,67.54920959472656,74.0,38.747501373291016,1004.280029296875,71.94999694824219,74.0,38.8849983215332,1005.5999755859375,72.5199966430664,74.37999725341797,38.599998474121094,996.6199951171875,71.5,72.04399871826172,38.8125,1004.22998046875,72.51000213623047,72.75,85003200,1687900,24588300,45307500
2017-06-09,35.31039047241211,970.1199951171875,66.0189208984375,71.46399688720703,37.244998931884766,970.1199951171875,70.31999969482422,71.46399688720703,38.79750061035156,1005.5,72.08000183105469,75.3740005493164,36.505001068115234,953.3699951171875,68.58999633789062,70.95999908447266,38.79750061035156,1005.489990234375,72.04000091552734,74.88400268554688,259530800,3647900,49187400,86307000
2017-06-12,34.466609954833984,961.8099975585938,65.51194763183594,71.802001953125,36.35499954223633,961.8099975585938,69.77999877929688,71.802001953125,36.522499084472656,968.0,69.94000244140625,72.9000015258789,35.627498626708984,936.7999877929688,68.12999725341797,70.1240005493164,36.435001373291016,958.719970703125,69.25,71.5979995727539,289229200,4202100,47761700,52588500
2017-06-13,34.74392318725586,970.5,66.32872009277344,75.19000244140625,36.647499084472656,970.5,70.6500015258789,75.19000244140625,36.86249923706055,977.9099731445312,70.81999969482422,75.19999694824219,36.287498474121094,962.010009765625,69.95999908447266,73.3219985961914,36.790000915527344,972.0399780273438,70.0199966430664,73.52400207519531,136661600,2005400,25258600,59039500
2017-06-14,34.40499496459961,967.9299926757812,65.97196960449219,76.13200378417969,36.290000915527344,967.9299926757812,70.2699966430664,76.13200378417969,36.875,979.7000122070312,71.0999984741211,76.8499984741211,35.959999084472656,959.510009765625,69.43000030517578,75.26200103759766,36.875,975.5,70.91000366210938,76.21800231933594,126124800,1505500,25510700,64092000
2017-06-15,34.19879150390625,960.1799926757812,65.62459564208984,75.06800079345703,36.0724983215332,960.1799926757812,69.9000015258789,75.06800079345703,36.119998931884766,960.6799926757812,70.20999908447266,75.09200286865234,35.5525016784668,940.3699951171875,68.80000305175781,73.2979965209961,35.83000183105469,948.02001953125,69.2699966430664,74.5,128661600,2427600,26068700,52132500
2017-06-16,33.72002029418945,958.6199951171875,65.71849822998047,74.27999877929688,35.567501068115234,958.6199951171875,70.0,74.27999877929688,36.125,959.9500122070312,70.02999877929688,75.60199737548828,35.54999923706055,948.7000122070312,69.22000122070312,74.0199966430664,35.94499969482422,957.9099731445312,69.7300033569336,75.59600067138672,201444400,2559200,48345100,33655000
2017-06-19,34.68467330932617,975.219970703125,66.5352783203125,73.95999908447266,36.584999084472656,975.219970703125,70.87000274658203,73.95999908447266,36.685001373291016,979.2999877929688,70.94000244140625,75.33999633789062,35.915000915527344,968.2000122070312,70.3499984741211,73.55999755859375,35.915000915527344,969.6500244140625,70.5,75.0,130165600,1468800,23798300,32746500
2017-06-20,34.369441986083984,968.989990234375,65.63398742675781,74.447998046875,36.252498626708984,968.989990234375,69.91000366210938,74.447998046875,36.717498779296875,980.7899780273438,70.87000274658203,75.7760009765625,36.23500061035156,968.2000122070312,69.87000274658203,73.94599914550781,36.717498779296875,975.3099975585938,70.81999969482422,75.33399963378906,99600400,1297300,21512200,37193500
2017-06-21,34.573272705078125,978.5900268554688,65.97196960449219,75.27999877929688,36.467498779296875,978.5900268554688,70.2699966430664,75.27999877929688,36.51750183105469,979.5499877929688,70.62000274658203,75.39800262451172,36.15250015258789,969.4500122070312,69.94000244140625,73.60399627685547,36.380001068115234,970.7899780273438,70.20999908447266,74.87000274658203,85063200,1161600,19891100,24616000
2017-06-22,34.51639175415039,976.6199951171875,65.96257781982422,76.52200317382812,36.407501220703125,976.6199951171875,70.26000213623047,76.52200317382812,36.67499923706055,980.5,70.58999633789062,77.0,36.279998779296875,973.3099975585938,69.70999908447266,74.71399688720703,36.442501068115234,976.8699951171875,70.54000091552734,75.5979995727539,76425200,1009500,22965700,37649000
2017-06-23,34.67044448852539,986.0900268554688,66.8544692993164,76.69000244140625,36.56999969482422,986.0900268554688,71.20999908447266,76.69000244140625,36.790000915527344,986.6199951171875,71.25,77.39800262451172,36.27750015258789,974.4600219726562,69.91999816894531,75.87000274658203,36.282501220703125,975.5,70.08999633789062,76.48999786376953,141757600,1564000,27617300,32229000
2017-06-26,34.561424255371094,972.0900268554688,66.21607208251953,75.49800109863281,36.45500183105469,972.0900268554688,70.52999877929688,75.49800109863281,37.06999969482422,993.989990234375,71.70999908447266,77.38999938964844,36.345001220703125,970.3300170898438,70.44000244140625,74.62000274658203,36.79249954223633,990.0,71.4000015258789,77.33799743652344,102769600,1517900,19607000,33020500
2017-06-27,34.06605529785156,948.0900268554688,64.976806640625,72.4739990234375,35.932498931884766,948.0900268554688,69.20999908447266,72.4739990234375,36.540000915527344,967.219970703125,70.18000030517578,75.27999877929688,35.904998779296875,947.0900268554688,69.18000030517578,72.40399932861328,36.252498626708984,961.5999755859375,70.11000061035156,75.27999877929688,99047600,2443600,25215100,34982000
2017-06-28,34.56379318237305,961.010009765625,65.53073120117188,74.24800109863281,36.45750045776367,961.010009765625,69.80000305175781,74.24800109863281,36.52750015258789,963.239990234375,69.83999633789062,74.3479995727539,35.790000915527344,936.1599731445312,68.79000091552734,72.50399780273438,36.122501373291016,950.6599731445312,69.20999908447266,73.33599853515625,88329600,2745600,25806200,31512500
2017-06-29,34.0542106628418,937.8200073242188,64.30084228515625,72.1500015258789,35.91999816894531,937.8200073242188,68.48999786376953,72.1500015258789,36.282501220703125,951.6599731445312,69.48999786376953,74.19999694824219,35.56999969482422,929.5999755859375,68.08999633789062,70.81999969482422,36.1775016784668,951.3499755859375,69.37999725341797,74.12200164794922,125997600,3206700,28918700,41105000
2017-06-30,34.134796142578125,929.6799926757812,64.71393585205078,72.3219985961914,36.005001068115234,929.6799926757812,68.93000030517578,72.3219985961914,36.2400016784668,945.0,69.37999725341797,73.35399627685547,35.94499969482422,929.6099853515625,68.73999786376953,71.92400360107422,36.11249923706055,943.989990234375,68.77999877929688,72.74199676513672,92096400,2287700,24161100,29242500
2017-07-03,34.01155090332031,919.4600219726562,64.00041198730469,70.52400207519531,35.875,919.4600219726562,68.16999816894531,70.52400207519531,36.32500076293945,934.239990234375,69.5999984741211,74.2699966430664,35.775001525878906,915.3099975585938,68.0199966430664,70.30000305175781,36.220001220703125,933.219970703125,69.33000183105469,74.0479965209961,57111200,1694800,16165500,31527000
2017-07-05,34.1513786315918,932.260009765625,64.85475158691406,65.41799926757812,36.022499084472656,932.260009765625,69.08000183105469,65.41799926757812,36.1974983215332,936.2899780273438,69.44000244140625,69.447998046875,35.68000030517578,918.6300048828125,68.22000122070312,65.26599884033203,35.92250061035156,924.2000122070312,68.26000213623047,69.44000244140625,86278400,2094100,21176300,85233500
2017-07-06,33.82904052734375,927.6900024414062,64.37594604492188,61.76599884033203,35.682498931884766,927.6900024414062,68.56999969482422,61.76599884033203,35.875,936.1400146484375,68.77999877929688,64.15799713134766,35.602500915527344,919.8499755859375,68.12000274658203,61.2599983215332,35.755001068115234,925.0,68.2699966430664,63.45199966430664,96515200,2014900,21117600,96622500
